	SRR7093809	SRR7093811	SRR7093812	SRR7093813	SRR7093814	SRR7093815	SRR7093816	SRR7093819	SRR7093821	SRR7093822	SRR7093824	SRR7093826	SRR7093827	SRR7093828	SRR7093829	SRR7093830	SRR7093832	SRR7093833	SRR7093834	SRR7093835	SRR7093836	SRR7093838	SRR7093839	SRR7093840	SRR7093842	SRR7093843	SRR7093845	SRR7093846	SRR7093847	SRR7093848	SRR7093850	SRR7093852	SRR7093854	SRR7093855	SRR7093856	SRR7093857	SRR7093858	SRR7093859	SRR7093860	SRR7093861	SRR7093862	SRR7093863	SRR7093864	SRR7093865	SRR7093866	SRR7093867	SRR7093869	SRR7093870	SRR7093871	SRR7093872	SRR7093873	SRR7093874	SRR7093875	SRR7093876	SRR7093877	SRR7093878	SRR7093879	SRR7093882	SRR7093883	SRR7093884	SRR7093887	SRR7093888	SRR7093889	SRR7093890	SRR7093891	SRR7093892	SRR7093893	SRR7093894	SRR7093895	SRR7093896	SRR7093897	SRR7093898	SRR7093899	SRR7093900	SRR7093901	SRR7093902	SRR7093903	SRR7093904	SRR7093905	SRR7093906	SRR7093907	SRR7093908	SRR7093909	SRR7093910	SRR7093911	SRR7093912	SRR7093913	SRR7093914	SRR7093915	SRR7093916	SRR7093917	SRR7093918	SRR7093919	SRR7093920	SRR7093921	SRR7093922	SRR7093923	SRR7093924	SRR7093925	SRR7093926	SRR7093927	SRR7093929	SRR7093930	SRR7093931	SRR7093932	SRR7093933	SRR7093934	SRR7093937	SRR7093940	SRR7093942	SRR7093943	SRR7093945	SRR7093946	SRR7093947	SRR7093948	SRR7093950
ENSG00000000003.17	40	50	53	53	48	57	60	43	60	58	57	50	62	56	43	46	55	46	47	53	61	52	45	55	48	60	52	48	48	53	52	42	47	58	48	46	45	41	44	66	70	68	61	62	59	61	60	72	57	66	61	43	47	53	48	36	58	46	31	51	39	55	51	54	55	53	53	53	55	46	42	49	59	50	52	60	49	50	50	49	49	40	49	57	47	56	54	47	55	51	51	50	62	61	60	60	61	60	62	64	49	61	50	51	62	48	45	52	53	52	44	47	48	51	46	55
ENSG00000000419.15	59	54	62	59	59	61	69	55	62	65	61	58	63	56	58	54	61	55	58	62	56	57	55	58	59	64	62	56	59	61	64	56	54	59	57	57	56	45	52	69	73	70	63	74	63	69	70	72	67	72	72	58	61	62	62	61	64	54	63	61	55	65	62	62	64	57	67	59	54	54	53	60	62	56	64	68	66	59	56	57	55	60	51	58	60	66	64	58	59	65	55	57	65	56	67	66	68	65	61	63	59	63	50	64	67	59	65	62	62	68	71	59	57	59	58	64
ENSG00000000457.15	33	31	31	28	30	27	36	28	37	34	34	30	39	37	28	29	35	32	32	30	30	29	32	29	29	35	35	31	31	29	32	29	28	33	31	27	27	26	25	45	49	48	42	40	36	39	47	47	42	43	44	28	29	31	32	34	33	39	40	34	31	31	28	33	29	27	35	32	31	30	33	33	30	28	27	28	27	30	33	33	30	34	33	38	28	33	31	29	36	30	28	29	34	37	41	40	41	40	43	44	33	33	33	33	40	30	47	32	35	37	36	35	31	33	34	36
ENSG00000000460.18	37	40	39	40	39	41	43	44	41	38	20	35	17	23	35	41	24	40	45	51	15	49	37	34	50	19	39	38	47	38	33	42	31	30	45	41	42	21	41	23	26	19	20	17	21	28	26	26	31	25	22	44	40	47	44	28	45	20	26	35	32	30	41	46	44	34	35	35	36	33	33	38	35	40	35	39	36	26	40	38	37	41	32	21	39	26	40	31	21	42	36	34	29	23	21	19	21	21	23	24	39	29	30	29	23	43	20	35	26	21	21	39	35	33	37	36
ENSG00000000971.18	23	31	47	23	28	36	62	20	30	50	68	53	34	61	30	45	78	18	27	35	56	35	43	44	18	52	39	27	16	15	75	26	37	25	50	36	36	23	44	68	67	78	66	75	62	70	40	46	63	63	44	18	11	24	8	27	13	17	29	9	19	21	32	29	24	34	19	20	21	50	23	22	26	10	3	53	11	32	32	32	47	10	17	50	31	38	32	33	25	37	31	29	29	59	74	17	70	67	56	47	27	18	52	36	19	25	37	12	12	80	32	11	29	56	36	25
ENSG00000001167.16	71	70	68	67	69	69	64	68	70	69	62	63	64	64	66	67	63	69	70	72	65	71	71	65	67	64	68	71	69	66	61	66	61	69	61	68	68	67	72	68	64	66	62	57	63	65	65	65	67	64	67	68	63	70	62	65	67	59	62	66	63	62	61	64	62	67	68	70	67	69	71	67	61	68	62	62	55	69	69	66	64	71	64	64	65	66	65	70	57	67	67	67	60	55	59	57	56	55	63	61	71	62	65	64	64	66	58	65	63	59	57	75	72	68	69	68
ENSG00000001460.19	33	53	57	47	51	47	52	41	43	55	31	58	34	38	49	49	29	37	36	41	48	50	47	48	45	34	52	49	45	43	40	40	56	51	62	49	50	47	55	30	38	37	34	29	31	39	36	52	31	39	53	34	42	38	52	41	51	42	59	43	45	44	44	49	48	27	57	42	41	43	50	46	51	50	50	53	44	49	52	44	43	44	49	46	46	39	37	47	35	45	43	43	36	44	49	45	46	43	44	42	52	42	53	50	51	40	39	42	41	39	34	44	41	34	42	47
ENSG00000001461.20	82	95	97	94	94	93	92	89	88	93	84	93	81	92	94	94	84	90	91	89	89	92	93	93	87	86	94	90	89	91	93	93	96	97	97	95	95	95	96	82	83	83	82	74	79	85	84	95	82	83	96	91	91	84	94	86	91	90	91	91	91	94	95	93	92	91	89	90	96	97	96	95	94	94	94	92	90	90	96	93	92	93	89	95	94	86	93	94	89	92	94	94	87	92	93	87	91	93	95	90	94	94	94	92	95	92	93	93	93	92	81	93	93	89	94	94
ENSG00000001497.19	64	62	60	55	62	65	56	62	56	61	56	60	53	57	63	57	50	63	63	62	58	65	59	62	64	57	60	62	61	57	55	62	59	64	58	63	64	65	64	57	55	51	53	58	53	53	53	62	58	55	44	64	58	59	59	63	56	61	62	63	67	55	57	59	58	61	57	59	54	59	57	62	59	60	56	58	52	56	59	62	57	60	49	63	56	59	53	59	51	51	52	55	55	62	59	56	63	64	60	59	64	59	60	59	56	62	54	60	58	61	60	68	63	62	63	60
ENSG00000001630.19	64	64	78	67	64	69	58	59	63	62	82	74	76	81	73	71	77	63	72	71	83	77	63	74	65	81	71	70	65	65	76	71	72	75	70	70	67	76	68	84	85	86	78	82	82	79	82	86	79	86	81	71	72	68	65	53	68	77	60	66	63	72	65	65	70	67	70	76	67	71	72	68	80	69	69	76	67	71	61	63	69	68	67	72	65	73	68	75	76	59	74	69	79	76	80	77	80	77	82	78	65	70	74	69	78	66	72	71	74	75	65	66	73	68	66	71
