gene	window_start	window_end	pvalue	padj
ENSG00000119509.14	15	24	5.000000000000000e-04	7.851466600936653e-02
ENSG00000135372.11	15	24	3.000000000000000e-04	5.194194863432531e-02
ENSG00000135387.22	15	24	5.000000000000000e-04	7.851466600936653e-02
ENSG00000137776.18	15	24	5.999999999999999e-04	9.084748663101604e-02
ENSG00000146414.18	15	24	4.000000000000000e-04	6.548302711036876e-02
ENSG00000161011.21	15	24	5.000000000000000e-04	7.851466600936653e-02
ENSG00000166326.8	15	24	5.999999999999999e-04	9.084748663101604e-02
ENSG00000188015.11	15	24	3.000000000000000e-04	5.194194863432531e-02
ENSG00000248871.1	15	24	5.999999999999999e-04	9.084748663101604e-02
ENSG00000285283.1	15	24	4.000000000000000e-04	6.548302711036876e-02
ENSG00000071553.19	16	25	5.000000000000000e-04	7.851466600936653e-02
ENSG00000104408.12	16	25	5.999999999999999e-04	9.084748663101604e-02
ENSG00000108468.16	16	25	4.000000000000000e-04	6.548302711036876e-02
ENSG00000117036.12	16	25	9.999000099990002e-05	2.059376111200905e-02
ENSG00000120742.12	16	25	5.999999999999999e-04	9.084748663101604e-02
ENSG00000136918.9	16	25	3.000000000000000e-04	5.194194863432531e-02
ENSG00000162458.14	16	25	4.000000000000000e-04	6.548302711036876e-02
ENSG00000166747.14	16	25	5.000000000000000e-04	7.851466600936653e-02
ENSG00000171867.19	16	25	5.000000000000000e-04	7.851466600936653e-02
ENSG00000172809.14	16	25	3.000000000000000e-04	5.194194863432531e-02
ENSG00000173926.7	16	25	3.000000000000000e-04	5.194194863432531e-02
ENSG00000176697.21	16	25	4.000000000000000e-04	6.548302711036876e-02
ENSG00000183621.16	16	25	4.000000000000000e-04	6.548302711036876e-02
ENSG00000185947.16	16	25	3.000000000000000e-04	5.194194863432531e-02
ENSG00000196465.12	16	25	4.000000000000000e-04	6.548302711036876e-02
ENSG00000197016.13	16	25	5.999999999999999e-04	9.084748663101604e-02
ENSG00000197324.10	16	25	3.000000000000000e-04	5.194194863432531e-02
ENSG00000239653.1	16	25	4.000000000000000e-04	6.548302711036876e-02
ENSG00000242028.9	16	25	4.000000000000000e-04	6.548302711036876e-02
ENSG00000249209.2	16	25	2.000000000000000e-04	3.728269202633504e-02
ENSG00000254772.11	16	25	3.000000000000000e-04	5.194194863432531e-02
ENSG00000265401.3	16	25	2.000000000000000e-04	3.728269202633504e-02
ENSG00000269968.2	16	25	2.000000000000000e-04	3.728269202633504e-02
ENSG00000273175.3	16	25	2.000000000000000e-04	3.728269202633504e-02
ENSG00000273723.3	16	25	4.000000000000000e-04	6.548302711036876e-02
ENSG00000280800.1	16	25	9.999000099990002e-05	2.059376111200905e-02
ENSG00000284503.1	16	25	5.999999999999999e-04	9.084748663101604e-02
ENSG00000291049.2	16	25	3.000000000000000e-04	5.194194863432531e-02
ENSG00000291106.2	16	25	2.000000000000000e-04	3.728269202633504e-02
ENSG00000060138.14	17	26	3.000000000000000e-04	5.194194863432531e-02
ENSG00000082126.19	17	26	2.000000000000000e-04	3.728269202633504e-02
ENSG00000101997.14	17	26	1.000000000000000e-04	2.059376111200905e-02
ENSG00000120992.19	17	26	4.000000000000000e-04	6.548302711036876e-02
ENSG00000128714.6	17	26	3.000000000000000e-04	5.194194863432531e-02
ENSG00000131931.9	17	26	9.999000099990002e-05	2.059376111200905e-02
ENSG00000150977.13	17	26	5.000000000000000e-04	7.851466600936653e-02
ENSG00000160211.21	17	26	9.999000099990002e-05	2.059376111200905e-02
ENSG00000162458.14	17	26	2.000000000000000e-04	3.728269202633504e-02
ENSG00000166261.12	17	26	3.000000000000000e-04	5.194194863432531e-02
ENSG00000170921.16	17	26	4.000000000000000e-04	6.548302711036876e-02
